Update ID,Part Requests,Monday Request ID Lookup,Monday Part Request  (from Part Requests),Part Type (from Part Requests),Material (from Part Requests) 2,Qty Made,Material - Import ,Date Manufactured,Row Total Revenue,Pricing Table Link,Price (from Pricing),Created Time,Run Automations,Entered In Monday,Statistics,Part Type - OLD,Part Type - Text - OLD,Part Import,Material (from Part Requests),Duplicate? Request ID (from Part Requests),Attachments,Monthly Total,Calculation,shippingStatus
1295,Bokeh Open - Cups - Canare - 8674555921,8674555921,Bokeh Open,Cups,Canare,7,,4/15/2025,$280.00,Cups,$40.00,4/15/2025 2:47pm,,checked,,Cups,,,Canare,Bokeh Open - Cups - Canare - 8674555921,,, - Cups - ,In Transit
1294,Atrium - Cups - Zebrawood - 8690514222,8690514222,Atrium,Cups,Zebrawood,2,,4/11/2025,$80.00,Cups,$40.00,4/11/2025 5:37pm,,checked,,Cups,,,Zebrawood,Atrium - Cups - Zebrawood - 8690514222,,, - Cups - ,In Transit
1293,Bokeh Open - Cups - Spectraply Emberstone - 8875350176,8875350176,Bokeh Open,Cups,Spectraply Emberstone,7,,4/11/2025,$280.00,Cups,$40.00,4/11/2025 4:17pm,,checked,,Cups,,,Spectraply Emberstone,Bokeh Open - Cups - Spectraply Emberstone - 8875350176,,, - Cups - ,In Transit
1292,Bokeh Open - Cups - Spectraply Nocturne - 8875348156,8875348156,Bokeh Open,Cups,Spectraply Nocturne,10,,4/11/2025,$400.00,Cups,$40.00,4/11/2025 4:17pm,,checked,,Cups,,,Spectraply Nocturne,Bokeh Open - Cups - Spectraply Nocturne - 8875348156,,, - Cups - ,In Transit
1291,Bokeh Open Grille Veneer - Cups - Stabilized (Mix Colors) - 8896199775,8896199775,Bokeh Open Grille Veneer,Cups,Stabilized (Mix Colors),4,,4/11/2025,$160.00,Cups,$40.00,4/11/2025 2:18pm,,checked,,Cups,,,Stabilized (Mix Colors),Bokeh Open Grille Veneer - Cups - Stabilized (Mix Colors) - 8896199775,,, - Cups - ,In Transit
1290,Atrium - Cups - Zebrawood - 8690514222,8690514222,Atrium,Cups,Zebrawood,7,,4/11/2025,$280.00,Cups,$40.00,4/11/2025 11:16am,,checked,,Cups,,,Zebrawood,Atrium - Cups - Zebrawood - 8690514222,,, - Cups - ,In Transit
1289,Caldera Closed - Cups - Flake Resin (Blue/Silver) - 8881278066,8881278066,Caldera Closed,Cups,Flake Resin (Blue/Silver),1,,4/11/2025,$40.00,Cups,$40.00,4/11/2025 10:32am,,checked,,Cups,,,Flake Resin (Blue/Silver),Caldera Closed - Cups - Flake Resin (Blue/Silver) - 8881278066,,, - Cups - ,In Transit
1288,Bokeh Closed - Cups - Canare - 8875382215,8875382215,Bokeh Closed,Cups,Canare,10,,4/10/2025,$400.00,Cups,$40.00,4/11/2025 10:31am,,checked,,Cups,,,Canare,Bokeh Closed - Cups - Canare - 8875382215,,, - Cups - ,In Transit
1287,Bokeh Open - Baffles - Richlite - 8836275483,8836275483,Bokeh Open,Baffles,Richlite,33,,4/10/2025,$660.00,Baffles,$20.00,4/11/2025 10:31am,,checked,,Cups,,,Richlite,Bokeh Open - Baffles - Richlite - 8836275483,,, - Baffles - ,In Transit
1286,Bokeh Closed - Cups - Black Limba - 8875343638,8875343638,Bokeh Closed,Cups,Black Limba,3,,4/10/2025,$120.00,Cups,$40.00,4/10/2025 10:23am,,checked,,Cups,,,Black Limba,Bokeh Closed - Cups - Black Limba - 8875343638,,, - Cups - ,In Transit
1285,Atrium - Cups - Zebrawood - 8690514222,8690514222,Atrium,Cups,Zebrawood,10,,4/10/2025,$400.00,Cups,$40.00,4/10/2025 10:22am,,checked,,Cups,,,Zebrawood,Atrium - Cups - Zebrawood - 8690514222,,, - Cups - ,In Transit
1284,Bokeh Closed - Baffles - Richlite - 8690692875,8690692875,Bokeh Closed,Baffles,Richlite,42,,4/9/2025,$840.00,Baffles,$20.00,4/9/2025 4:38pm,,checked,,Cups,,,Richlite,Bokeh Closed - Baffles - Richlite - 8690692875,,, - Baffles - ,In Transit
1283,Bokeh Closed - Cups - Black Limba - 8875343638,8875343638,Bokeh Closed,Cups,Black Limba,11,,4/9/2025,$440.00,Cups,$40.00,4/9/2025 4:37pm,,checked,,Cups,,,Black Limba,Bokeh Closed - Cups - Black Limba - 8875343638,,, - Cups - ,In Transit
1282,Atrium - Cups - Zebrawood - 8690514222,8690514222,Atrium,Cups,Zebrawood,11,,4/9/2025,$440.00,Cups,$40.00,4/9/2025 10:07am,,checked,,Cups,,,Zebrawood,Atrium - Cups - Zebrawood - 8690514222,,, - Cups - ,In Transit
1281,Atrium Open - Baffles - Richlite - 8875331732,8875331732,Atrium Open,Baffles,Richlite,21,,4/8/2025,$420.00,Baffles,$20.00,4/8/2025 3:43pm,,checked,,Cups,,,Richlite,Atrium Open - Baffles - Richlite - 8875331732,,, - Baffles - ,In Transit
